place_id,place_key,geom_source,year,value,numerator,denominator,measure_type,source,sample_n,notes
Hildesheim,hildesheim,legacy,,16.4,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Witten,witten,legacy,,2.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Zwickau,zwickau,legacy,,4.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Erlangen,erlangen,legacy,,29.2,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Wuppertal,wuppertal,legacy,,1.6,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Jena,jena,legacy,,16.1,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
"Düren, Stadt",duren,legacy,,6.8,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
"Bocholt, Stadt",bocholt,legacy,,34.1,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Tallinn,tallinn,legacy,,1.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Tartu,tartu,legacy,,5.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Paris,paris,legacy,,2.8,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Lyon,lyon,legacy,,5.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Lille,lille,legacy,,3.8,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Marseille,marseille,legacy,,1.7,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Bordeaux,bordeaux,legacy,,8.6,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Toulouse,toulouse,legacy,,7.3,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Nantes,nantes,legacy,,8.7,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Nice,nice,legacy,,2.2,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Strasbourg,strasbourg,legacy,,15.0,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Rouen,rouen,legacy,,2.6,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Montpellier,montpellier,legacy,,7.3,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Grenoble,grenoble,legacy,,12.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Tours,tours,legacy,,6.0,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Cannes-Antibes,cannes-antibes,legacy,,1.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Toulon,toulon,legacy,,3.4,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Rennes,rennes,legacy,,9.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Reims,reims,legacy,,3.3,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Orléans,orleans,legacy,,4.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Nancy,nancy,legacy,,3.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Dijon,dijon,legacy,,5.7,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Clermont-Ferrand,clermont-ferrand,legacy,,3.6,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Le Havre,le havre,legacy,,2.6,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Saint-Étienne,saint-etienne,legacy,,1.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Angers,angers,legacy,,7.3,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Mulhouse,mulhouse,legacy,,3.2,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Lens,lens,legacy,,1.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Metz,metz,legacy,,2.4,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Nîmes,nimes,legacy,,4.6,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Le Mans,le mans,legacy,,5.2,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Saint-Denis,saint-denis,legacy,,1.6,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Caen,caen,legacy,,4.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Limoges,limoges,legacy,,1.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Aix-en-Provence,aix-en-provence,legacy,,3.3,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Brest,brest,legacy,,3.0,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Amiens,amiens,legacy,,5.2,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Dunkerque,dunkerque,legacy,,3.3,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Perpignan,perpignan,legacy,,2.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Annecy,annecy,legacy,,6.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Besançon,besancon,legacy,,5.3,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Bayonne,bayonne,legacy,,2.4,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
La Seyne-sur-Mer,la seyne-sur-mer,legacy,,2.6,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Pau,pau,legacy,,4.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Avignon,avignon,legacy,,5.2,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Troyes,troyes,legacy,,4.4,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Valenciennes,valenciennes,legacy,,2.0,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Fort-de-France,fort-de-france,legacy,,0.3,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Poitiers,poitiers,legacy,,4.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Valence,valence,legacy,,5.4,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Fréjus,frejus,legacy,,1.4,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Chambéry,chambery,legacy,,7.0,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Mantes-la-Jolie,mantes-la-jolie,legacy,,0.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Douai,douai,legacy,,3.4,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Melun,melun,legacy,,1.0,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
La Rochelle,la rochelle,legacy,,11.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Lorient,lorient,legacy,,5.7,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Cherbourg-en-Cotentin,cherbourg-en-cotentin,legacy,,4.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Béziers,beziers,legacy,,1.1,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Chartres,chartres,legacy,,4.3,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Creil,creil,legacy,,1.4,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Boulogne-sur-Mer,boulogne-sur-mer,legacy,,0.8,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Calais,calais,legacy,,2.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Mamoudzou,mamoudzou,legacy,,0.6,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Montbéliard,montbeliard,legacy,,2.1,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Arras,arras,legacy,,2.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Colmar,colmar,legacy,,9.0,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Martigues,martigues,legacy,,0.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Meaux,meaux,legacy,,1.2,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Bourges,bourges,legacy,,3.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Saint-Brieuc,saint-brieuc,legacy,,3.3,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Quimper,quimper,legacy,,1.9,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Belfort,belfort,legacy,,4.1,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Cayenne,cayenne,legacy,,3.7,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Hayange,hayange,legacy,,0.7,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Saint-Louis,saint-louis,legacy,,1.1,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Vannes,vannes,legacy,,4.3,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Annemasse-Geneva (French part),annemasse-geneva (french part),legacy,,6.0,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Saint-Louis-Basel (French part),saint-louis-basel (french part),legacy,,10.5,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Riga,riga,legacy,,4.7,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Helsinki,helsinki,legacy,,17.0,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Tampere,tampere,legacy,,14.0,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Espoo,espoo,legacy,,10.0,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Vantaa,vantaa,legacy,,11.0,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Lahti,lahti,legacy,,17.0,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Bern,bern,legacy,,10.75,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Zürich,zurich,legacy,,6.63,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
Genève,geneve,legacy,,9.74,,,commute_mode_share,legacy_max_value,,mixed Eurostat + 2011 census; year unknown
